Object ID,Código SIG,ID Tipo,Morada,Designação,Tipologia,MOBILIDADE_REDUZIDA,GlobalID,x,y
1,4904,4,Travessa da Laranjeira,Fontanário na Travessa da Laranjeira,Fontanário,,4b7937b7-dfad-487f-ae06-31ff38e9e4c8,-1018135.753807,4680210.99333471
2,4007,4,Rua Sam Levy(antigo Troço da Estrada de Caselas),Fontanário na Rua Sam Levy,Fontanário,,3b5e3e37-11cf-498c-a2a4-62a8d98e5998,-1025773.30211619,4681028.62445862
3,4703,4,Largo do Chafariz de Dentro,Reservatório do Chafariz de Dentro,Reservatório,,34c8919d-88f6-449a-8222-8337db6cf85b,-1016139.27457762,4680402.8812767
4,4905,4,Largo de Santo Antoninho,Fontanário no Largo de Santo Antoninho,Fontanário,,1c4f1dea-bad1-4f66-8161-4c61a4c654f8,-1018212.8811064,4680062.52733458
5,5002,4,Alameda Cardeal Cerejeira,Lago do Monumento ao 25 de Abril de 1974,Lago,,4636b523-5765-45ae-85a9-e6e09135b6dc,-1019072.78364094,4683122.77821261
6,5202,4,Travessa do Chafariz de El-Rei,Depósito do Chafariz d'El Rey,Reservatório,,48ff551d-3ae0-4088-86bd-290ab15cc778,-1016307.47896942,4680176.07103529
7,4510,4,Praça da Alegria,Lago do Jardim Alfredo Keil,Lago,,05c10929-fcb8-4ff5-99f1-39f3987190fb,-1018041.57704763,4681338.67566383
8,5301,4,Rua da Guia,Fontanário da Rua da Guia,Fontanário,,7e96f406-8b0a-4c11-8933-4963a1cc39d4,-1016775.11267829,4681067.27785381
9,5003,4,Parque Eduardo VII de Inglaterra,Lago da Estufa Fria,Lago,,447d649b-ecb4-4b6c-a08a-5887bdb7f05a,-1019112.114685,4682909.82749721
10,804,4,"Travessa de Francisco Rezende, Quinta da Fonte",Lago da Quinta da Fonte,Lago,,8f03ef14-48b3-4891-a3fb-257b5b00b12b,-1023539.52576901,4684888.00484163
11,4602,4,Rua do Arco a São Mamede,Chafariz da Rua do Arco a São Mamede,Chafariz,,de90b043-4ba6-4d39-bcb9-2cdc9019e32f,-1019057.07471058,4681230.88015564
12,906,4,Campo Grande,Lago 1 no Museu da Cidade,Lago,,556bc16c-7cbf-4cac-b737-8afec76fffe6,-1019361.96822785,4687069.95876589
13,5107,4,Largo Dr. Bernardino António Gomes (Pai),Chafariz do Largo Dr. Bernardino António Gomes (Pai),Chafariz,,0421ae93-e7ec-4f01-96e2-f943e03a10f4,-1015518.86264668,4681054.02295173
14,4903,4,Rua de Santa Catarina,Fontanário na Rua de Santa Catarina,Fontanário,,cef76d91-173f-4451-9497-82e7ba8b5c04,-1018434.18819881,4680173.49970498
15,4702,4,"Beco de São Miguel, Escadinhas de São Miguel",Chafariz das Escadinhas de São Miguel,Chafariz,,22393c64-f0c2-4f10-b877-c59372215a0f,-1016300.03091152,4680358.40375774
16,502,4,Largo do Ministro,Fontanário no Largo do Ministro,Fontanário,,bda4c668-d2da-4f16-8985-1347fe183913,-1019619.72276042,4690563.45573839
17,4604,4,Rua das Amoreiras,Reservatório da Mãe d'Água das Amoreiras,Reservatório,,bbb9e228-30a3-457e-a858-bb884e497870,-1019208.26087172,4681821.69460665
18,805,4,Estrada de Benfica,Chafariz das Garridas ou de Benfica,Chafariz,,cdb9a1a1-e69e-4055-97d9-c068f0646a2c,-1024247.45291145,4685989.92741745
19,5102,4,"Calçada do Forte, Rua dos Caminhos de Ferro",Bebedouro de Animais,Fontanário,,e30b5c1f-b958-4fb9-ba71-50a3a5ac8644,-1015681.28203501,4680716.53560487
20,5104,4,Telheiro de São Vicente,Fontanário no Jardim João Lopes,Fontanário,,047465b9-20a0-4804-a4a9-3da09e29574d,-1016130.30805749,4680973.04382716
21,4006,4,Rua do Gabarete,Fontanário da Rua do Gabarete,Fontanário,,9f5b3c47-45c7-4591-8c02-96e8df01d8be,-1025796.42099647,4681032.96528718
22,4706,4,"Largo de Santa Luzia, (Miradouro)",Chafariz do Miradouro de Santa Luzia,Chafariz,,18f16cbb-7d58-4330-8f48-096a84f980eb,-1016397.59586904,4680427.36541526
23,812,4,"Estrada da Circunvalação, Parque de Campismo de Monsanto",Lago na entrada do Parque de Campismo de Monsanto,Lago,,91854f90-0362-4be9-ab77-e4166bf5ca95,-1024982.89342521,4682323.38228825
24,4107,4,Alto Varejão,Chafariz do Alto do Varejão,Chafariz,,7f5e2c68-5b01-4690-a8c4-1c4867f37409,-1015242.31189193,4682157.62769864
25,809,4,Avenida do Colégio Militar,Lago na Avenida do Colégio Militar,Lago,,3685dd09-ed21-42b8-9312-e002a4780cad,-1023135.24610947,4685868.48593695
26,1028,4,Praça de Espanha,Lago do Parque Urbano Gonçalo Ribeiro Teles,Lago,,526c4fb3-c139-49ad-ac8e-76925517bfa1,-1019818.17553089,4684117.34950101
27,1024,4,Praça de Espanha,Poço Artístico Cristina Iglésias 1,Poço artístico,,c8422a2f-b8cd-491b-b371-386ef3bb166e,-1019403.59634219,4684164.46126094
28,1027,4,Praça de Espanha,Poço Artístico Cristina Iglésias 4,Poço artístico,,ebeb5bbc-0e65-42ab-b7ef-54b054d1e781,-1019926.14780436,4684140.01964059
29,1029,4,Praça de Espanha,Canal do Parque Urbano Gonçalo Ribeiro Teles,Canal,,cc612799-fdb3-43cb-aba9-ef3192ba99cb,-1019613.04379693,4684121.34131666
30,1026,4,Praça de Espanha,Poço Artístico Cristina Iglésias 3,Poço artístico,,ecbf24e0-8208-4287-b2e4-784e3a8dcf68,-1019687.48466993,4684073.42795157
31,1025,4,Praça de Espanha,Poço Artístico Cristina Iglésias 2,Poço artístico,,70c79666-e270-43ad-ad21-15bd1f344a07,-1019534.17508721,4684097.23824076
32,1030,4,Rua B do Bairro da Liberdade,Bebedouro junto ao Liberdade Futebol Clube,Bebedouro,NÃO,c3174afa-0414-461e-9e3d-30017d4f83e9,-1020736.07253449,4683684.3940792
33,254,4,Rua Pedro Calmon(antiga Rua Avelar Brotero),Bebedouro Junto à Escola Básica de Santo Amaro,Bebedouro,SIM,806fe808-917a-409f-be63-83b64ddbdae6,-1022459.1955616,4679315.26619679
